Artist		Clicks
"??????? ??????????" 		1
"The Juju Orchestra" 		1
"Boy Eats Drum Machine" 		2
"Sasha" 		15
"Viktor Vaughn" 		3
"Saint Seiya" 		8
"The Verlaines" 		1
"Ender" 		1
"Slapshot" 		2
"Jale" 		1
"Bahram Mansurov" 		2
"David Bowie & Mick Jagger" 		1
"Haymaker" 		2
"Zi:Kill - Disgrace 08" 		1
"Marc Aryan" 		2
"Director" 		1
"Rebel Meets Rebel" 		5
"The Little Willies" 		2
"Block 16" 		1
"Al Hudson And The Soul Partners" 		1
"Chuck Mangione" 		3
"Swirlies" 		2
"Shontelle" 		2
"Märvel" 		1
"Men Without Hats" 		3
"Winterkids" 		1
"Afro" 		1
"Herman José" 		1
"C-Rayz Walz" 		2
"Jarabe De Palo" 		9
"Blue Boy" 		3
"Gothic Sex" 		1
"Meryl Streep And Amanda Seyfried" 		1
"Starcraft Soundtrack" 		1
"Atrium" 		1
"Barilari" 		1
"Dj River" 		1
"Glittertind" 		1
"The Hives" 		55
"T.S.O.L." 		4
"My Ruin" 		1
"Md.45" 		2
"Elmo & Patsy" 		1
"Ill Bill" 		2
"Fresh" 		3
"Everybody Else" 		3
"The Eames Era" 		3
"Level 70 Elite Tauren Chieftain" 		1
"Totakeke" 		3
"Tugboat" 		1
"Tubeway Army" 		4
"Lazlo Bane" 		2
"Stanley Jordan" 		1
"Octobre Rouge" 		1
"Blakfish" 		1
"Benjamin Britten" 		1
"All Bets Off" 		1
"Balance Of Power" 		1
"Mdc" 		4
"Phil Ochs" 		1
"Fair June" 		1
"Nicole Scherzinger" 		1
"Big Bang" 		1
"Uomo Suono" 		1
"Hurts To Purr" 		1
"The Heavy" 		1
"Aeternitas" 		1
"Sangit Om" 		1
"Climax Chicago Blues Band" 		1
"Mr.Children" 		7
"Joe Purdy" 		6
"Fonda" 		1
"The The" 		6
"Pavarotti, Sutherland, Horne, Talvela - Solti Vienna Philharmonic" 		2
"Le Grand Guignol" 		1
"Cake" 		53
"X-Marks The Pedwalk" 		1
"Seeed" 		15
"Cage The Elephant" 		1
"Buffalo Springfield" 		2
"The Weavils" 		1
"North Mississippi Allstars" 		1
"Tigarah" 		1
"Gary Numan" 		25
"Daughtry Featuring Slash" 		1
"Totó La Momposina" 		2
"Mario Vazquez" 		1
"Prosperity Denied" 		1
"Dia Psalma" 		2
"Pedro Aznar" 		1
"Pilooski" 		1
"Nacha Pop" 		1
"Lucero" 		8
"Gank Move" 		1
"Tuatha De Danann" 		1
"Stream Of Passion" 		1
"Remences" 		1
"Haley Scarnato" 		1
"764-Hero/Modest Mouse" 		2
"Backwash" 		1
"Girlschool" 		2
"Stworywodne.Jaszczury" 		1
"The June Spirit" 		2
"Die Orsons" 		4
"Antiworld" 		1
"Unwound" 		3
"Cultus Ferox" 		2
"Vreid" 		1
"The Libertines" 		94
"???" 		1
"Burning Star Core" 		3
"Luscious Jackson" 		4
"The Soggy Bottom Boys" 		1
"[Musical]" 		1
"Yasuaki Shimizu" 		1
"Trollskogen" 		1
"Deepest Blue" 		10
"A Perfect Circle" 		100
"Aubrey Haynie" 		1
"Mireille Mathieu" 		1
"Cornelia Funke" 		1
"Stan Bush" 		3
"80Kidz" 		2
"Scott Matthews" 		4
"Brian Auger & The Trinity" 		1
"Chris Isaak" 		14
"Roger Nicholas & The Small Circle Of Friends" 		1
"Kmd" 		2
"Mad Hatter" 		1
"Ac/Dc" 		141
"The Dying Breed" 		1
"Portastatic" 		4
"8Mm" 		4
"Alexander Maier" 		1
"Proof" 		1
"Laura Veirs" 		9
"Gilles Peterson" 		5
"¡All-Time Quarterback!" 		2
"Ab Feat. Amalia" 		1
"Clarence Carter" 		2
"Bloodshed" 		1
"Cuff The Duke" 		1
"Dissidenten" 		1
"Obie Trice" 		3
"Moria" 		1
"Stephanie Cooke" 		1
"Pull No Fingers" 		1
"The Underdog Project Vs. The Sunclub" 		1
"Jan Garbarek" 		5
"Connie Francis" 		3
"Grammatics" 		1
"Paul Wall" 		1
"Vinícius De Moraes" 		1
"Pele Juju" 		3
"Sam Sparro" 		8
"Finntroll" 		26
"Les Gammas" 		2
"Whitechapel" 		4
"Baul Dimension" 		2
"Atom And His Package" 		2
"Dubmatix" 		1
"Punkin Machine" 		1
"Wormphlegm" 		1
"Oleander" 		1
"Punky'S Dilemma" 		1
"Hôtel Costes" 		1
"Chikinki" 		4
"Crookers" 		5
"Lindsay Cooper" 		1
"Kneel In Front Of The Executioner" 		1
"Yourcodenameis:Milo" 		2
"????" 		1
"Öszibarack" 		1
"Behemoth" 		14
"Pankow" 		3
"Pouppée Fabrikk" 		2
"Little Angels" 		1
"Evan" 		2
"The Clash" 		134
"Jim O'Rourke" 		2
"Modwheelmood" 		6
"The Mighty Lemon Drops" 		3
"Celilo" 		1
"Pain" 		10
"Gong Gong" 		1
"Nightech" 		1
"Tommy February6" 		3
"Radar" 		1
"Pop!" 		2
"Les Luthiers" 		2
"Toires" 		1
"Mark Knopfler" 		11
"The Essex Green" 		4
"Showbiz & A.G." 		1
"Conor Oberst" 		9
"Ashes You Leave" 		2
"Don Davis" 		4
"Variété" 		1
"Brother Ali" 		9
"Freddie Crüger" 		1
"Faber Drive" 		1
"8 Mile Soundtrack - Nas" 		1
"Dypsomaniaxe" 		1
"Wes Montgomery" 		3
"Blacklisted" 		2
"Dj Sneak" 		2
"Spock'S Beard" 		9
"John Hiatt & The Goners" 		2
"Leonel Nunes" 		15
"Heavenly" 		3
"J. Karjalainen" 		5
"Karuan" 		2
"Jessie Baylin" 		1
"Ian Van Dahl - Try" 		1
"Makiladoras" 		1
"Dublex Inc." 		8
"Chip Taylor & Carrie Rodriguez" 		1
"Cilla Black" 		3
"Marc Collin" 		1
"Savage Circus" 		3
"40 Winks" 		3
"Theresa Sokyrka" 		2
"Strike" 		1
"Battlelore" 		9
"Aphrodite'S Child" 		4
"C.Franck" 		1
"Sifl & Olly" 		1
"Foolcut" 		1
"Everybody Uh-Oh" 		1
"Sonne Hagal" 		1
"Techno G. Feat. Monier" 		1
"Chris Taylor Brown" 		1
"Pyrolator" 		2
"Malvina Reynolds" 		1
"Clara Hill, Georg Levin, Jazzanova & Nicola Kramer" 		1
"Digital Zen Featuring Aubrey" 		1
"Sweet" 		6
"High And Mighty Color" 		16
"Mr. Bungle" 		16
"Jim Babjak'S Buzzed Meg" 		1
"Bubblegum Lemonade" 		4
"Crowded House" 		19
"Chobits - Ost 1" 		1
"Kai Martin" 		1
"Unitz" 		1
"The Haunted" 		20
"Whirlpool Productions" 		2
"Alison Krauss & Union Station" 		1
"Openair" 		1
"Kilcolman" 		1
"Telemetrik" 		3
"Conseils De Prononciation" 		1
"Buddha Monks" 		2
"Ekatarina Velika" 		4
"Sage Francis" 		27
"Tears Of Mankind" 		1
"Hole" 		18
"Princess Superstar" 		2
"The Secret Meeting" 		2
"Marcia Ball" 		1
"Charm City Saints" 		1
"Afro-Mystik" 		1
"The Martinis" 		2
"Eri Nobuchika" 		7
"The Sunburst Band" 		1
"Jim Noir" 		5
"Daniel Bedingfield" 		4
"Jim Morrison Featuring The Doors" 		1
"Touché" 		1
"???????? ?????????" 		2
"Buy Now" 		1
"Dr. Dre Feat. The Game" 		1
"Magic Sam Blues Band" 		1
"Czarny Jobacz [Willy.Ggs]" 		1
"High Level Static" 		1
"Ne-Yo" 		10
"Novillero" 		2
"Tankwart" 		1
"Max Graham" 		1
"Ken Ring & Tommy Tee" 		1
"Mitch Hedberg" 		12
"Shellac" 		4
"The Cassettes" 		1
"Send More Tourists" 		1
"Bobby Sherman" 		1
"Joan Osborne" 		2
"Tift Merritt" 		1
"Gran Bel Fisher" 		2
"????" 		4
"The Old Dead Tree" 		4
"?????????" 		1
"Sascha Funke" 		4
"Pateras/Baxter/Brown" 		1
"Tumulto" 		1
"Garden Of Eden" 		4
"Fenix Tx" 		4
"The Mods" 		2
"Kaolin" 		1
"Adrian Bourgeois" 		1
"Mark Weigle" 		1
"Go" 		1
"Clara Hill" 		1
"Fred Frith" 		6
"Stanley Clarke" 		1
"Empurium" 		1
"Aaskereia" 		1
"???????????" 		1
"J-Rocc" 		1
"Full Metal Alchemist" 		1
"The Leevees" 		1
"Amici Forever" 		2
"Annick" 		1
"Alpinestars" 		2
"Nick Arse & The Arsenicks" 		4
"Bishop Paul S. Morton, Sr. & The Greater St. Stephen Mass Choir" 		2
"Heartsrevolution" 		6
"Le Tigre" 		42
"Aubrey Lemmon" 		1
"Ohm-G & Bruno" 		1
"Godley & Creme" 		2
"Lääz Rockit" 		1
"Fat Freddy'S Drop" 		1
"Divinity" 		1
"Jack White" 		1
"Martin Simpson" 		1
"Bastian" 		1
"Boxcutter" 		4
"The Propositions" 		2
"Cheb Mami" 		2
"Guru Josh Project" 		4
"Bruno Pronsato" 		2
"Trapdoor Fucking Exit" 		1
"Freakshow" 		1
"Moneen" 		1
"Scanner" 		1
"The Forgotten Rebels" 		1
"Blue Planet Corporation" 		2
"The Roswells" 		1
"The Focus Group" 		1
"Dennis Ferrer Feat. Mia Tuttavilla" 		1
"Alarm Will Sound" 		1
"Tor Norbye, Carl Quinn, Joe Nuxoll, Dick Wall" 		1
"Paolo Conte" 		1
"The Red Jumpsuit Apparatus" 		6
"Lakupaavi" 		2
"Lucie Silvas" 		1
"Downpilot" 		1
"Spank Rock/Gaz Nevada" 		1
"The Demigodz" 		1
"Djay" 		1
"Lost Tribe" 		2
"Eros Ramazzotti" 		3
"Brian Wilson" 		1
"Crossfire" 		1
"Moneybrother" 		9
"Irene Cara" 		2
"Infected Mushroom" 		32
"Help She Can'T Swim" 		5
"Woven Hand" 		20
"September Malevolence" 		2
"Adrian Sherwood" 		1
"The Flying Burrito Brothers" 		4
"Valerie Dore" 		1
"Malice In Wonderland" 		4
"??" 		1
"Christine Baranski" 		1
"Nujabes Feat. Minmi" 		3
"Lowgold" 		3
"Nonoyesno" 		1
"Born/Dead" 		1
"L'Orchestre Noir" 		1
"Benjamin Biolay" 		4
"Kokomo" 		1
"Je Suis France" 		1
"Guster" 		17
"Dj Jeli" 		1
"Underwater Circus" 		1
"Shoestring" 		1
"Ricochets" 		1
"Thomas Dybdahl" 		6
"Everlast" 		8
"Audru Donalds" 		2
"Michael Sembello" 		2
"Amber Pacific" 		3
"Team Sleep" 		4
"Cobra Gang" 		1
"Badmarsh & Shri" 		1
"Rock Plaza Central" 		1
"Bitchee Bitchee Ya Ya Ya" 		1
"See You Next Tuesday" 		3
"Gregory And The Hawk" 		5
"Country Comfort" 		1
"Cassius, Les Rythmes Digitale" 		1
"Honey Power" 		1
"S.H.E" 		1
"David Arkenstone" 		3
"Anna Tsuchiya Inspi' Nana(Black Stones)" 		3
"Neil" 		1
"Laidback Luke" 		1
"Holiday Flyer" 		1
"V/A: Planet V" 		1
"Tristeza" 		6
"Corcovado" 		1
"The Beautiful Mistake" 		4
"Clipse" 		6
"Very Nice People" 		1
"Tyrone Davis" 		2
"The Hitmen" 		1
"Donna Summer & Barbra Streisand" 		1
"Matt Uelmen" 		2
"Jim Verraros" 		4
"Yellowcard" 		38
"Molly Jenson" 		1
"Gentle Giant" 		6
"??????" 		1
"Sidewinder" 		1
"Dr. Dre Feat. Paradime" 		1
"Skeeter Davis" 		1
"Yanira Figueroa" 		1
"Kris Kristofferson" 		2
"Jackass" 		1
"Cryptic Vision" 		1
"Ponytail" 		1
":Zoviet*France:" 		1
"Thom Yorke" 		48
"Loretta Lynn" 		2
"Dark Castle" 		1
"Messiah" 		1
"Eddy Grant" 		1
"Christian Marclay" 		2
"The Serious Geniuses" 		1
"Nicola Hitchcock" 		1
"Bill Frisell" 		4
"Matane Tokyo" 		1
"James Pants" 		2
"Manu Chao" 		46
"Home & Garden" 		1
"Lyle Lovett" 		2
"Helen Love" 		1
"Tasavallan Presidentti" 		2
"Dan The Automator" 		1
"The Blackbyrds" 		2
"Jackie Trent" 		1
"Avulsed" 		2
"Apostle Of Hustle" 		4
"Autumn" 		1
"Passion Pit" 		3
"The Airborne Toxic Event" 		5
"Nx2" 		1
"Iain Matthews" 		1
"Blind Libido" 		1
"Giuseppe Verdi" 		2
"Om" 		9
"Mariah Carey" 		41
"Brian Tyler" 		2
"Dark Lunacy" 		2
"The Warriors" 		1
"Blind Melon" 		9
"Foetus And Lydia Lunch" 		2
"Britelite" 		2
"Dan Le Sac Vs. Scroobius Pip" 		2
"Deerhoof" 		31
"Louie Austen" 		2
"U-God" 		2
"Jona" 		1
"Cathedral" 		6
"Kadebostan" 		1
"Rui Da Silva" 		2
"Ashley & David Macisaac" 		1
"Tokyo Police Club" 		28
"2Wo" 		2
"Michael Ball" 		1
"Thai Elephant Orchestra" 		1
"The Candyskins" 		2
"Die Form" 		1
"X10 Feat. Tec Trance" 		1
"Ruhi Su" 		2
"Yaki-Da" 		2
"Wyclef Jean" 		11
"Channel 5" 		1
"Chungking" 		3
"Fraktura Mozga" 		1
"Jared Diamond" 		2
"Bing Crosby & David Bowie" 		2
"Fintelligens" 		1
"Hanzel Und Gretyl" 		3
"Dr. Samuel J. Hoffman" 		2
"Grand Puba" 		2
"Šaban Bajramovi?" 		1
"Dynamite Deluxe" 		1
"Hangedup" 		1
"Gaudi" 		2
"Sarah Harmer" 		1
"????" 		2
"Welcome The Plague Year" 		1
"Sixx:A.M." 		4
"Swervedriver" 		7
"Cyndi Lauper & The Minus 5" 		1
"Alasin" 		3
"Sebastian Bach" 		3
"Bad Luck" 		2
"Mourning Beloveth" 		1
"Atlas Sound" 		21
"Mattafix" 		3
"Ex-Voto" 		1
"Hail Of Bullets" 		1
"Herbie Hancock" 		14
"Öppna Korten" 		1
"Toy" 		1
"Omerta" 		1
"Willie Mitchell" 		1
"God" 		1
"The Manhattan Love Suicides" 		1
"Natalie Portman'S Shaved Head" 		5
"Sash!" 		6
"Evanescence" 		101
"Tommy Keene" 		2
"Mustasch" 		3
"Natalie Imbruglia" 		17
"Dwarves" 		4
"Art Tatum" 		5
"Portland" 		1
"The Author" 		1
"Black Market Crash" 		1
"Duran Duran" 		51
"Linda Perhacs" 		1
"Severed Savior" 		2
"Nico Muhly" 		3
"Goldbergvariationen, Bwv 988 (Auszüge)" 		2
"Simple Kid" 		1
"Jet Set Productions Feat. Jo L" 		1
"Random Factor" 		1
"Descendents" 		22
"Adrienne Pierce" 		1
"Ximena Abarca" 		2
"Sokó? Feat. Pono" 		1
"[:Sitd:]" 		3
"Stephen Bishop" 		1
"The Associates" 		9
"Monolith" 		2
"Winger" 		1
"J.J. Burnell" 		1
"White Denim" 		2
"Kim Sozzi" 		2
"Andrew Coleman" 		1
"Synchronicity" 		1
"Dizzy Gillespie" 		4
"Locker Rocket" 		1
"Romeo Void" 		2
"Mantus" 		1
"Sussie 4" 		5
"Shèna" 		2
"Tenebrae In Perpetuum" 		1
"Blitzen Trapper" 		5
"Guru Guru" 		2
"Joi" 		1
"Budgie" 		2
"Ryan Adams & The Cardinals" 		6
"Paul Van Dyk Feat. Jessica Sutta" 		2
"5F_55" 		1
"The Strokes" 		135
"Dive Vs. Diskonnekted" 		1
"Larry Tee" 		1
"Jerry Garcia & David Grisman" 		2
"Antelope" 		3
"Quiet Village" 		5
"John Cameron Mitchell" 		5
"Contriva" 		3
"Lifter Puller" 		1
"Sunny Summer Day" 		1
"Axwell (By @Ello-)" 		1
"?????" 		2
"Rapper Big Pooh" 		2
"Jim Jacobs & Warren Casey" 		8
"Napoli Is Not Nepal" 		1
"Jimmy Dorsey" 		1
"Plastilina Mosh" 		1
"Dax Riders" 		1
"Juri Dal Dan Trio" 		1
"The Frames + Josh Ritter" 		1
"Alphabeat" 		1
"Katell Keineg" 		1
"The Lovefreekz" 		1
"Bow Wow Wow" 		5
"Madita" 		1
"Ichimaru Gin (Yusa Koji)" 		1
"U.S. Senator Barack Obama" 		1
"Math And Physics Club" 		3
"Supafly" 		1
"????" 		2
"Strachy Na Lachy" 		7
"Puppetmastaz" 		1
"Digimon Frontier - Wada Kouji" 		1
"Lamya" 		4
"Palisades" 		1
"Mark Smith" 		1
"Jazzfinger" 		1
"Wass" 		1
"Funeral Dress" 		1
"Fabolous M/ Young Jeezy" 		1
"Chris Knight" 		6
"Peter Luts & Dominico" 		1
"Antoine Leswan" 		1
"International Harvester" 		2
"Chemistry Set" 		2
"Brand Nubian" 		3
"Bad Astronaut" 		1
"We" 		1
"Xl" 		2
"Anne Linnet" 		1
"Mahala Raï Banda" 		3
"Nelly Feat Paul Wall" 		1
"Big B" 		1
"Bryan Adams" 		26
"Squadra Blanco" 		1
"Kilroy" 		1
"Kärtsy Hatakka & Kimmo Kajasto" 		1
"Se7En" 		5
"Respect" 		2
"Wookie" 		1
"Montefiori Cocktail" 		5
"Beatles Chillout" 		1
"Putrefaction" 		1
"Alfred Brendel" 		1
"Papas Fritas" 		3
"Steven Clawson" 		1
"The Sons Of Saturn" 		2
"Savage Garden" 		15
"Capleton" 		2
"Kristine Elezaj" 		1
"Sonique" 		3
"Future Breeze" 		1
"Junior Jack" 		3
"As Tall As Lions" 		4
"Margot & The Nuclear So And So'S" 		10
"Pavement" 		61
"Ryan Leslie" 		4
"Peter Case With David Perales" 		2
"Palotai Muzsika" 		1
"Son House" 		3
"Gadjo - Erick Morillo" 		1
"Astral Projection" 		6
"Waldhaus Vs. Matt M. Maddox" 		1
"Maria Callas" 		1
"Kat Deluna Feat. Elephant Man" 		1
"Via Mistica" 		2
"Ajda Pekkan" 		20
"Cassidy" 		3
"Maybeshewill" 		6
"Those 2 Girls" 		2
"5F-X" 		2
"Earshot" 		3
"Moving Mountains" 		2
"Andrea Doria" 		1
"Pillar" 		1
"Rosko Featuring Nadia Ali" 		1
"Cordell Klier" 		2
"Element Eighty" 		5
"Guf" 		1
"Mirwais" 		9
"Clube Do Balanço" 		3
"Just Surrender" 		1
"Glen Porter" 		1
"Green Cortinas" 		2
"Buddha-Bar" 		2
"Glenn Hughes" 		2
"Christophe Beck" 		3
"Chicory Tip" 		1
"Black Uhuru" 		4
"Helene Rask" 		1
"Icr" 		1
"Illidiance" 		1
"Chris Abrahams & Mike Cooper" 		1
"Captain Beefheart & His Magic Band" 		6
"James Last" 		1
"The Kingston Trio" 		1
"The House Of Love" 		4
"Helium Vola" 		1
"Jacques Loussier" 		1
"Soul Brothers" 		1
"Droid" 		1
"Rocco" 		2
"Esthero" 		23
"Myntee" 		1
"Lester Flatt & Earl Scruggs" 		1
"Indian Fall" 		2
"T2" 		2
"...And You Will Know Us By The Trail Of Dead" 		58
"Amy Millan" 		2
"Kill The Romance" 		1
"Dora The Explorer" 		1
"Flow" 		3
"Headrillaz" 		1
"Dulcamara" 		1
"Kings Of Convenience" 		56
"Lovage" 		9
"Loscil" 		2
"Jacaszek" 		6
"Ralph Myerz And The Jack Herren Band" 		6
"Studio" 		2
"Ltj Bukem" 		3
"Chevelle" 		19
"Nanowar" 		3
"Adhesive_Boy" 		1
"Mr. Oizo" 		8
"Butterfly Explosion" 		1
"Final Fantasy" 		34
"Hip Whips" 		3
"Jack Ross" 		1
"Uncle Slam" 		1
"Nem" 		1
"?????" 		5
"Rotfront" 		1
"The Black Maria" 		1
"Get Real" 		1
"Lucas Prata" 		1
"Only Living Witness" 		1
"Nessie & Her Beard" 		1
"Graveland" 		3
"Plötslichmusik" 		1
"Crazy Penis" 		3
"Frampton Brothers" 		1
"D'Incise" 		2
"Françoiz Breut" 		1
"Testors" 		1
"Frank Sinatra" 		71
"Gaelle" 		2
"Thanatopsis" 		9
"Iamuse" 		1
"Chris Stamey" 		1
"Ex-Otago" 		1
"Kaptein Sabeltann" 		1
"The Casual Dots" 		1
"Shri" 		1
"Tussle" 		1
"Electric Light Orchestra" 		11
"Venomous Concept" 		2
"Destroyer Destroyer" 		1
"Sanjiva" 		1
"Acid Mothers Temple & The Melting Paraiso U.F.O." 		1
"Caspa & Rusko" 		1
"Esquivel" 		1
"Designed People" 		4
"Adn Feat. Taktika" 		1
"An On Bast" 		3
"Toktok" 		1
"Larry Coryell" 		1
"The Black Ghosts" 		7
"Atb Pres. Jades" 		1
"Free The Robots" 		2
"D. Day Rabbit" 		1
"Anouk" 		2
"Snake Eyes" 		1
"Ppt" 		1
"Nightwalker" 		1
"Benga & Skream" 		1
"The Swellers" 		1
"?????? Feat ???? ???????" 		1
"Olu Dara" 		1
"Amari" 		1
"Kawa?ek Kulki" 		1
"Andy Hunter°" 		2
"The Paradise" 		1
"The Twin Atlas" 		1
"By A Thread" 		1
"Jimmy Somerville" 		4
"Jason Mraz Mash-Up With Chriss" 		1
"Index" 		1
"See Venus" 		1
"Asia" 		4
"A Taste Of Honey" 		1
"Mano Negra" 		12
"K7" 		1
"Brotha Lynch Hung" 		2
"Dawid Szcz?sny" 		3
"Martti Servo Ja Napander" 		1
"Finley Quaye" 		1
"Destiny'S Child" 		13
"John Peel Festive Fifty 1985" 		1
"Sonic Generation" 		2
"The Alpha Conspiracy" 		1
"Louis Logic" 		1
"Will Ferrell & The Channel 4 News Team" 		1
"Stereophonics" 		63
"Morning Runner" 		8
"Buddy Holly" 		15
"Jamie Scott & The Town" 		1
"Totalt Jävla Mörker" 		1
"Danny Howells" 		1
"Ds-13" 		4
"Crooklyn Dodgers '95" 		1
"Kalabrese" 		2
"Baby Teeth" 		1
"Andrew Lloyd Webber" 		17
"Daze" 		2
"Wiener Philharmoniker/Carlos Kleiber" 		1
"Justin Townes Earle" 		1
"Vivian Blaine, Isabel Bigley & Chorus" 		1
"Derek And The Dominos" 		6
"On The Last Day" 		1
"Bob Mould" 		3
"Enders Room" 		1
"Big & Rich" 		4
"Stereofunk" 		1
"No Choice" 		1
"Nevada Tan" 		1
"Os Bonnies" 		6
"Wakefield" 		1
"Naildown" 		2
"Goran Bregovi?" 		7
"Eulorhythmics" 		1
"Trinkers" 		1
"Ari Hest" 		1
"Demia" 		1
"Bananarama" 		3
"The Dresden Dolls" 		68
"Jeanne Moreau" 		1
"Pe'Z" 		1
"Kiss" 		40
"David Deejay & Dony" 		1
"Daab" 		1
"Aggrovators & King Tubby" 		1
"Mj Cole" 		2
"The Rulers" 		1
"Mav" 		1
"Electrostatic" 		1
"???" 		1
"The Glands" 		1
"Butch Walker" 		1
"Electrosynthesis" 		1
"Tackleberry" 		1
"Dj Tiësto Vs Kane" 		1
"Vlad Tepes" 		1
"Pet Shop Boys & Dusty Springfield" 		1
"Halo Of Flies" 		1
"Draggor" 		1
"Velveteen" 		2
"Bongzilla" 		1
"Todd Boekelheide" 		1
"???" 		2
"Florin Chilian" 		1
"Vama Veche" 		1
"Anticon" 		1
"Terre Thaemlitz" 		1
"Georgia Anne Muldrow" 		1
"Mor Ve Ötesi" 		5
"Bourgeois Tagg" 		1
"Jacques Loussier Trio" 		2
"Weakling" 		1
"Midge Ure" 		6
"Skywave" 		1
"Gob" 		1
"Schowi & Ju" 		1
"Robbie Fulks" 		1
"Jonna Lee" 		3
"The Fleshtones" 		1
"Dragonforce" 		19
"Simon & Garfunkel Feat. James Taylor" 		1
"Onyx" 		3
"Lloyd Brown" 		1
"Cave In" 		14
"Neal Morse" 		1
"Parachutes" 		1
"Noir" 		2
"Skee-Lo" 		1
"Kane Sole" 		1
"Black Rob" 		2
"Marykate O'Neil" 		1
"Hotlegs" 		1
"Bbc Tv Theme" 		1
"Kelly Rowland" 		4
"Marcas Lancaster" 		1
"No Blues" 		1
"Bobby Bare, Jr." 		1
"Chin Chin" 		1
"Aftermath" 		1
"Spangle Call Lilli Line" 		1
"Abs" 		1
"Camera Obscura" 		35
"Visions Of Atlantis" 		1
"Talib Kweli & Hi-Tek" 		4
"Llewellyn & Juliana" 		2
"Stupid Fast & Company" 		1
"State River Widening" 		1
"Rosensprung" 		5
"Drunk With Joy" 		1
"Lime & Violet" 		1
"Serpent_Axed" 		1
"????" 		1
"Shaznay Lewis" 		4
"The Stylistics" 		1
"Patrice" 		7
"John Philip Sousa" 		1
"Argine" 		1
"Barefoot" 		2
"The Shermans" 		1
"Crowbar" 		3
"Chubby Checker" 		4
"Love As Laughter" 		1
"Edit" 		3
"William Byrd" 		1
"Audio Empire" 		1
"Winnebago Deal" 		2
"Big Kuntry King" 		1
"Myrna Matthews" 		3
"Paul Curreri" 		1
"O-Zone" 		3
"Ä2" 		1
"Farmers Manual" 		1
"Breed77" 		2
"Dream Warriors" 		1
"Autumnblaze" 		1
"Dj Navvy" 		2
"Tori Amos & Leonard Cohen" 		1
"Samantha Deam" 		2
"Oscar Peterson" 		5
"Aaa Den-O Form" 		4
"Campo Di Marte" 		1
"With Honor" 		5
"Coaltar Of The Deepers" 		3
"Tim Berne" 		1
"St. Christopher" 		3
"Casey Jones" 		1
"The Triangles" 		1
"Spank Rock" 		9
